VCL_PROG_MIN,STR_PROG_MIN,VCL_IMM_MAX,avg_total_mae
25,0.8,6,45.27
50,0.6,11,45.3
15,0.8,6,45.31
45,0.65,12,45.31
45,0.65,3,45.31
10,0.7,13,45.33
10,0.8,6,45.33
55,0.55,11,45.35
45,0.65,14,45.37
25,0.8,7,45.41
20,0.75,11,45.41
25,0.75,13,45.44
15,0.8,7,45.47
30,0.75,11,45.49
25,0.8,4,45.49
15,0.7,12,45.49
10,0.45,14,45.52
50,0.65,5,45.54
45,0.6,2,45.55
15,0.7,14,45.55
50,0.65,9,45.56
40,0.7,10,45.56
40,0.65,2,45.56
55,0.6,9,45.58
50,0.65,7,45.58
15,0.4,13,45.59
50,0.65,6,45.61
10,0.8,7,45.62
50,0.6,12,45.62
55,0.6,5,45.64
55,0.55,12,45.64
10,0.7,12,45.64
35,0.7,2,45.65
50,0.65,8,45.66
50,0.6,14,45.68
55,0.6,7,45.68
55,0.6,8,45.68
55,0.6,6,45.7
10,0.4,10,45.7
10,0.85,5,45.7
55,0.55,14,45.71
35,0.7,12,45.73
20,0.75,13,45.74
55,0.4,2,45.75
15,0.4,12,45.77
35,0.7,14,45.79
10,0.7,14,45.8
40,0.7,13,45.8
30,0.75,13,45.82
20,0.8,8,45.84
50,0.6,3,45.87
15,0.75,11,45.87
50,0.65,4,45.89
45,0.7,5,45.94
10,0.75,11,45.95
45,0.7,9,45.96
45,0.7,7,45.98
10,0.85,4,45.98
55,0.6,4,46.0
45,0.7,6,46.01
25,0.75,12,46.03
35,0.75,10,46.05
45,0.7,8,46.05
25,0.8,8,46.06
10,0.8,3,46.07
40,0.7,11,46.08
50,0.55,2,46.08
25,0.75,14,46.1
10,0.4,11,46.1
15,0.8,8,46.14
15,0.75,13,46.2
45,0.7,4,46.22
55,0.6,13,46.26
30,0.8,5,46.28
15,0.85,5,46.28
30,0.8,7,46.32
10,0.85,6,46.32
20,0.75,12,46.33
20,0.8,3,46.34
30,0.8,6,46.35
20,0.75,14,46.39
15,0.4,14,46.4
10,0.8,8,46.4
40,0.7,12,46.4
30,0.75,12,46.41
40,0.7,3,46.43
15,0.8,3,46.45
40,0.7,14,46.46
55,0.55,3,46.47
30,0.75,14,46.48
35,0.75,3,46.48
10,0.85,7,46.48
40,0.75,5,46.5
25,0.8,9,46.51
40,0.75,9,46.52
50,0.65,10,46.52
55,0.6,10,46.53
20,0.8,9,46.53
10,0.4,12,46.54
40,0.75,7,46.54
10,0.75,13,46.56
20,0.85,5,46.57
30,0.8,4,46.57
15,0.85,4,46.57
40,0.75,6,46.57
50,0.65,13,46.58
40,0.75,8,46.61
55,0.6,11,46.63
10,0.4,13,46.64
15,0.85,6,46.71
40,0.75,4,46.78
15,0.75,12,46.79
55,0.45,2,46.8
45,0.7,10,46.82
15,0.8,9,46.83
20,0.85,4,46.85
50,0.65,11,46.86
15,0.75,14,46.86
55,0.6,12,46.86
10,0.75,12,46.87
15,0.85,7,46.87
55,0.6,14,46.92
30,0.8,8,46.95
35,0.75,11,46.96
25,0.8,3,46.96
20,0.85,6,47.0
10,0.8,2,47.01
30,0.8,9,47.01
10,0.75,14,47.02
35,0.75,13,47.04
45,0.7,13,47.07
10,0.8,9,47.09
10,0.4,14,47.13
10,0.85,8,47.13
55,0.5,2,47.14
20,0.85,7,47.16
50,0.65,12,47.17
50,0.65,14,47.24
25,0.85,5,47.3
45,0.7,11,47.35
25,0.85,6,47.37
40,0.75,10,47.38
55,0.65,9,47.39
45,0.65,2,47.44
55,0.65,5,47.45
10,0.85,3,47.46
55,0.65,8,47.49
10,0.85,9,47.49
55,0.65,7,47.49
25,0.85,7,47.51
55,0.65,6,47.52
20,0.8,2,47.53
15,0.85,8,47.53
15,0.8,2,47.56
25,0.85,4,47.59
50,0.65,3,47.59
25,0.8,10,47.59
20,0.8,10,47.62
40,0.75,13,47.63
35,0.75,12,47.63
45,0.7,12,47.66
35,0.75,14,47.7
45,0.7,14,47.73
55,0.6,3,47.77
45,0.75,9,47.78
55,0.65,4,47.81
20,0.85,8,47.81
45,0.75,5,47.82
50,0.6,2,47.83
45,0.75,7,47.86
15,0.85,9,47.87
45,0.75,8,47.88
45,0.75,6,47.89
15,0.8,10,47.91
35,0.75,2,47.91
40,0.75,11,47.91
45,0.7,3,47.91
50,0.7,9,47.91
50,0.7,5,47.96
30,0.8,10,47.98
55,0.65,13,47.99
50,0.7,7,48.0
50,0.7,8,48.01
50,0.7,6,48.02
30,0.8,3,48.04
15,0.85,3,48.04
20,0.85,9,48.15
40,0.7,2,48.16
25,0.85,8,48.17
35,0.8,5,48.17
45,0.75,4,48.18
10,0.8,10,48.18
35,0.8,7,48.21
40,0.75,12,48.22
35,0.8,6,48.24
55,0.65,10,48.26
40,0.75,14,48.29
50,0.7,4,48.32
25,0.8,2,48.32
40,0.75,3,48.32
20,0.85,3,48.33
55,0.65,11,48.35
25,0.85,9,48.44
35,0.8,4,48.46
10,0.85,10,48.48
25,0.8,11,48.55
35,0.8,9,48.55
20,0.8,11,48.58
55,0.65,12,48.58
45,0.75,10,48.64
55,0.65,14,48.64
35,0.8,8,48.65
30,0.85,5,48.66
55,0.55,2,48.7
30,0.85,7,48.7
30,0.85,6,48.73
15,0.85,10,48.74
50,0.7,10,48.78
50,0.7,13,48.83
15,0.8,11,48.88
25,0.8,13,48.88
45,0.75,13,48.89
20,0.8,13,48.91
30,0.8,11,48.94
30,0.85,4,48.95
10,0.8,11,48.95
20,0.85,10,49.03
10,0.85,2,49.04
50,0.7,11,49.11
25,0.85,3,49.12
45,0.75,11,49.17
15,0.8,13,49.2
30,0.85,9,49.23
30,0.8,13,49.27
25,0.85,10,49.31
10,0.85,11,49.33
30,0.85,8,49.33
10,0.9,5,49.36
35,0.8,10,49.42
50,0.7,12,49.43
25,0.8,12,49.48
50,0.7,14,49.49
45,0.75,12,49.49
20,0.8,12,49.5
55,0.7,9,49.52
25,0.8,14,49.54
45,0.75,14,49.55
30,0.8,2,49.55
10,0.8,13,49.56
55,0.7,5,49.57
20,0.8,14,49.57
55,0.7,8,49.61
55,0.7,7,49.61
55,0.65,3,49.61
15,0.85,11,49.61
15,0.85,2,49.62
10,0.9,4,49.64
55,0.7,6,49.64
50,0.65,2,49.72
40,0.8,5,49.73
40,0.8,9,49.75
40,0.8,7,49.77
40,0.8,6,49.8
15,0.8,12,49.8
40,0.8,8,49.85
15,0.8,14,49.86
30,0.8,12,49.86
10,0.8,12,49.87
50,0.75,9,49.88
45,0.75,3,49.89
20,0.85,11,49.9
20,0.85,2,49.91
50,0.75,5,49.93
30,0.8,14,49.93
10,0.85,13,49.94
15,0.85,13,49.94
55,0.7,4,49.94
15,0.9,5,49.94
50,0.75,7,49.97
50,0.75,8,49.97
10,0.9,6,49.98
35,0.8,3,49.99
55,0.7,13,50.0
50,0.75,6,50.0
50,0.7,3,50.02
55,0.6,2,50.02
10,0.8,14,50.03
45,0.7,2,50.03
35,0.8,11,50.07
40,0.8,4,50.08
35,0.8,13,50.09
30,0.85,10,50.1
40,0.75,2,50.14
10,0.9,7,50.14
25,0.85,11,50.18
20,0.85,13,50.22
20,0.9,5,50.23
15,0.9,4,50.23
10,0.85,12,50.25
